claim_id,accident_date,evaluation_date,payment_amount,change_in_reserve
claim-2005-1,1/1/05,9/16/06,4596.969697,5606.060603
claim-2005-2,1/7/05,9/16/06,4596.969697,5606.060603
claim-2005-3,1/13/05,9/16/06,4596.969697,5606.060603
claim-2005-4,1/18/05,9/16/06,4596.969697,5606.060603
claim-2005-5,1/24/05,9/16/06,4596.969697,5606.060603
claim-2005-6,1/30/05,9/16/06,4596.969697,5606.060603
claim-2005-7,2/5/05,9/16/06,4596.969697,5606.060603
claim-2005-8,2/11/05,9/16/06,4596.969697,5606.060603
claim-2005-9,2/16/05,9/16/06,4596.969697,5606.060603
claim-2005-10,2/22/05,9/16/06,4596.969697,5606.060603
claim-2005-11,2/28/05,9/16/06,4596.969697,5606.060603
claim-2005-12,3/6/05,9/16/06,4596.969697,5606.060603
claim-2005-13,3/12/05,9/16/06,4596.969697,5606.060603
claim-2005-14,3/17/05,9/16/06,4596.969697,5606.060603
claim-2005-15,3/23/05,9/16/06,4596.969697,5606.060603
claim-2005-16,3/29/05,9/16/06,4596.969697,5606.060603
claim-2005-17,4/4/05,9/16/06,4596.969697,5606.060603
claim-2005-18,4/9/05,9/16/06,4596.969697,5606.060603
claim-2005-19,4/15/05,9/16/06,4596.969697,5606.060603
claim-2005-20,4/21/05,9/16/06,4596.969697,5606.060603
claim-2005-21,4/27/05,9/16/06,4596.969697,5606.060603
claim-2005-22,5/3/05,9/16/06,4596.969697,5606.060603
claim-2005-23,5/8/05,9/16/06,4596.969697,5606.060603
claim-2005-24,5/14/05,9/16/06,4596.969697,5606.060603
claim-2005-25,5/20/05,9/16/06,4596.969697,5606.060603
claim-2005-26,5/26/05,9/16/06,4596.969697,5606.060603
claim-2005-27,6/1/05,9/16/06,4596.969697,5606.060603
claim-2005-28,6/6/05,9/16/06,4596.969697,5606.060603
claim-2005-29,6/12/05,9/16/06,4596.969697,5606.060603
claim-2005-30,6/18/05,9/16/06,4596.969697,5606.060603
claim-2005-31,6/24/05,9/16/06,4596.969697,5606.060603
claim-2005-32,6/30/05,9/16/06,4596.969697,5606.060603
claim-2005-33,7/5/05,9/16/06,4596.969697,5606.060603
claim-2005-1,1/1/05,9/16/07,3164.005913,3418.329638
claim-2005-2,1/7/05,9/16/07,3164.005913,3418.329638
